# LAST EDIT: 22/08/2020 - MITSU
#######################
# PLEASURE/HAREM/RAPE #
#######################
###ÄNSI
#
# PLEASURE
#
hide_deformity_spells;Dissimulate Deformity;;;;;;;;;;;;;;
EVTDESCAspleasure131;[From.GetFirstName] has really become insatiable, trying new games and new players nearly every night, exploring new uncharted heights in pleasure and pain.;;;;;;;;;;;;;;
EVTDESCBspleasure131;[From.GetFirstName] fully understands the game and, although [From.GetSheHe] has yet to master it, [From.GetSheHe]'s grown knowledgeable enough to tire even yourself. You can finally run wild with your imagination on [From.GetHerHim].;;;;;;;;;;;;;;
EVTDESCCspleasure131;You can finally enjoy [From.GetFirstName]'s full attentions, while helping [From.GetHerHim] finding more friends to spend the night with and new toys and games to play with. It might be the good time to push for something more extreme.;;;;;;;;;;;;;;
EVTDESCDspleasure131;You think your influence is finally catching on with [From.GetFirstName]. There's still a long way to go, but [From.GetSheHe] doesn't seem repulsed by your ideas as before. If nothing else, you've sparkled [From.GetHerHis] curiosity, maybe even actual interest...;;;;;;;;;;;;;;
EVTDESCEspleasure131;You think your influence is finally catching on with [From.GetFirstName]. There's still a long way to go, but [From.GetSheHe] doesn't seem as repulsed by your ideas as before. If nothing else, you've sparkled [From.GetHerHis] curiosity.;;;;;;;;;;;;;;
EVTDESCFspleasure131;[From.GetFirstName] is still persisting in [From.GetHerHis] prudish attitude. What charm could possibly erode such a stubborn fool and let [From.GetHerHim] understand the true joys of passion?;;;;;;;;;;;;;;
EVTDESCGspleasure131;[From.GetFirstName] still remain the most virtuous and intransigent of the people you know. It seems like [From.GetSheHe] think of [From.GetHerHis] integrity as a badge of honour [From.GetSheHe] doesn't want to lose, rather than a shackle to be discarded.;;;;;;;;;;;;;;
EVTDESCHspleasure131;[From.GetFirstName] still remain the most virtuous and intransigent of the people you know. Why does [From.GetSheHe] even care so much about a part of [From.GetHerHis] body which apparently [From.GetSheHe] never even use?;;;;;;;;;;;;;;
EVTOPTAspleasure131;*Tempt [From.GetHerHim]*;;;;;;;;;;;;;;
EVTOPTBspleasure131;*Trick [From.GetHerHim]*;;;;;;;;;;;;;;
EVTOPTCspleasure131;*Traumatize [From.GetHerHim]*;;;;;;;;;;;;;;
EVTDESCAspleasure132;The fires of lust blazing within your soul could ignite a forest, there seems to be nothing that can sate your cravings. Every time you feel like you've reached the pinnacle of pleasure, you find a new, higher mountain to climb. And it's all thanks to [From.GetFirstName]'s gentle care.;;;;;;;;;;;;;;
EVTDESCBspleasure132;Only a few people understand there is a point where pain and pleasure meet, the dull masses dismiss such claims out of fear and ignorance. But not you. Your nights spent with [From.GetFirstName] opened your eyes more than they ever were. Along with other things...;;;;;;;;;;;;;;
EVTDESCCspleasure132;Now that [From.GetFirstName] showed you this new world, you crave to go deeper. You often find yourself letting your mind go adrift during your waking hours, thinking of strange and exciting new ways you could spend the night. And of who else you'd want to share it with.;;;;;;;;;;;;;;
EVTDESCDspleasure132;You failed to be strong, but just for a night. [From.GetFirstName] had been so kind to you lately, and [From.GetHerHis] promises looked so alluring... Now you do not know what to feel. What you witnessed was both terrible and intoxicating. Even if you feel it wrong, you greatly crave more.;;;;;;;;;;;;;;
EVTDESCEspleasure132;[From.GetFirstName] has been so nice with you lately, regaling you with improbable tales of [From.GetHerHis] exploits, jokingly wondering where you could gain some to tell [From.GetHerHim] in return. How shaming it would be to admit that you're now genuinely curious about what [From.GetSheHe] claims [From.GetSheHe] could show you?;;;;;;;;;;;;;;
EVTDESCFspleasure132;[From.GetFirstName] has been so nice with you lately, but you worry [From.GetHerHis] behaviour might be hiding other darker ends. What could [From.GetSheHe] find so alluring in such base instincts?;;;;;;;;;;;;;;
EVTDESCGspleasure132;Whispers, subtle looks, a small kindness here and there, does [From.GetFirstName] thinks you'll be swayed so easily? That you would give away your virtue and play whatever sick games [From.GetSheHe] craves?;;;;;;;;;;;;;;
EVTDESCHspleasure132;Whispers, subtle looks, a small kindness here and there, does [From.GetFirstName] thinks you'll be swayed so easily? That you would give away your virtue and play whatever sick games [From.GetSheHe] craves?;;;;;;;;;;;;;;
EVTOPTZZspleasure132;Pain and pleasure equal ecstasy!;;;;;;;;;;;;;;
EVTOPTAspleasure132;Just... just a little more...;;;;;;;;;;;;;;
EVTOPTBspleasure132;This is nothing I want to be part of.;;;;;;;;;;;;;;
EVTOPTCspleasure132;Enough! I'll not enable any of this sickening behaviour any longer.;;;;;;;;;;;;;;
EVTDESCAspleasure133;The well of lust surging within your soul could drown a city, there seems to be nothing that can fulfill your cravings any more. Every time you feel like you've reached the pinnacle of pleasure, you find a new, higher mountain to climb. And it's all thanks to [From.GetFirstName]'s sharp guile.;;;;;;;;;;;;;;
EVTDESCBspleasure133;This whirlwind of lust, plots and betrayals is something wonderful, a great gift from [From.GetFirstName]. It's such an exciting and dangerous life, every second of every day. And when one of the two prevails, such marvels are done upon the other.;;;;;;;;;;;;;;
EVTDESCCspleasure133;Another poisoned drink and you wake in [From.GetFirstName]'s dungeon. It doesn't bother you that much any more. Keeping your guard up, concocting some ploy yourself, seeing who will fall first, it's an exciting foreplay of its own kind.;;;;;;;;;;;;;;
EVTDESCDspleasure133;You could not prevent yourself from falling to your [GetFromRelation]'s trick, and when you woke up you were bound and naked in the grass, far away in the wilderness. You tried to escape, but, even after [From.GetSheHe] finally let you go, you couldn't deny that what little memory you kept of the unfortunate trip was strangely alluring...;;;;;;;;;;;;;;
EVTDESCEspleasure133;[From.GetFirstName] has given you a lot of attention lately, asking strange things, inviting you to seemingly harmless trips and so on. For all the times you ended up with foggy memories of those moments, you've started to wonder what are you two really doing together.;;;;;;;;;;;;;;
EVTDESCFspleasure133;[From.GetFirstName] has given you a lot of attention lately, asking strange things, inviting you to seemingly harmless trips and so on. You've always kept on your guard and for good reason, for [From.GetSheHe] looks like just waiting to fall upon you at a moment's distraction.;;;;;;;;;;;;;;
EVTDESCGspleasure133;A friendly ride, a private matter, a couple drinks... does [From.GetFirstName] thinks you'll be tricked so easily? What a repulsive person [From.GetSheHe] is for recurring to such base ploys to take advantage of you.;;;;;;;;;;;;;;
EVTDESCHspleasure133;A friendly ride, a private matter, a couple drinks... does [From.GetFirstName] thinks you'll be tricked so easily? What a repulsive person [From.GetSheHe] is for recurring to such base ploys to take advantage of you.;;;;;;;;;;;;;;
EVTOPTZZspleasure133;Pain and pleasure equal ecstasy!;;;;;;;;;;;;;;
EVTOPTAspleasure133;Just... just a little more...;;;;;;;;;;;;;;
EVTOPTBspleasure133;This is nothing I want to be part of.;;;;;;;;;;;;;;
EVTOPTCspleasure133;Enough! I'll not enable any of this sickening behaviour any longer.;;;;;;;;;;;;;;
EVTDESCAspleasure134;The force of lust roiling within your soul could crumble a mountain, there seems to be nothing that can satisfy your cravings any more. Every time you feel like you've reached the pinnacle of pleasure, you find a new, higher mountain to climb. And it's all thanks to [From.GetFirstName]'s savage passion.;;;;;;;;;;;;;;
EVTDESCBspleasure134;Savagery and passion entwined in the last days as you and [From.GetFirstName] explore new depths. You're no longer content waiting [From.GetHerHim], sometimes it is you know to prepare the ambush, sometimes not even against [From.GetHerHim].;;;;;;;;;;;;;;
EVTDESCCspleasure134;An ambush in the bedroom is a good starting thrill, but can become dull when repeated to time. Fortunately [From.GetFirstName] knows this. Every night something new and terrible might happen, you could end dragged in the dungeon against your will, violated in the streets, it doesn't matter... you've never felt so excited.;;;;;;;;;;;;;;
EVTDESCDspleasure134;Finding a stranger within your own chambers in the middle of the night could upset anyone, but, once your [GetFromRelation] is done with you, you aren't sure of how to feel.;;;;;;;;;;;;;;
EVTDESCEspleasure134;When [From.GetFirstName] appeared inside your private chambers, in the middle of the night, you didn't know what to do. What kind of person does that? Still you couldn't deny the sudden rush of adrenaline felt somewhat good.;;;;;;;;;;;;;;
EVTDESCFspleasure134;When [From.GetFirstName] appeared inside your private chambers, in the middle of the night, you didn't know what to do. What kind of person does that?;;;;;;;;;;;;;;
EVTDESCGspleasure134;That repulsive libidinous freak [From.GetFirstName] tried to ambush you inside your own chamber to force [From.GetHerHim]self upon you. You barely avoided being taken by the sickening monster.;;;;;;;;;;;;;;
EVTDESCHspleasure134;That repulsive libidinous freak [From.GetFirstName] tried to ambush you inside your own chamber to force [From.GetHerHim]self upon you. You barely avoided being taken by the sickening monster.;;;;;;;;;;;;;;
EVTOPTZZspleasure134;Pain and pleasure equal ecstasy!;;;;;;;;;;;;;;
EVTOPTAspleasure134;Just... just a little more...;;;;;;;;;;;;;;
EVTOPTBspleasure134;This is nothing I want to be part of.;;;;;;;;;;;;;;
EVTOPTCspleasure134;Enough! I'll not enable any of this sickening behaviour any longer.;;;;;;;;;;;;;;
EVTDESCAspleasure135;[From.GetFirstName] claims now that, after [From.GetHerHis] experience with you, [From.GetSheHe] feels even more set in [From.GetHerHis] ideals, encouraging you as well to retain your dignity, and keep yourself a respected and respectful man, rather than let lust wreck your mind and destroy your reputation for little more than animalistic pleasure.;;;;;;;;;;;;;;
EVTDESCBspleasure135;[From.GetFirstName] claims now that, after [From.GetHerHis] experience with you, [From.GetSheHe] feels even more set in [From.GetHerHis] ideals, encouraging you as well to retain your virtue, and keep yourself a respected and respectful woman, rather than let lust wreck your mind and destroy your reputation for little more than animalistic pleasure.;;;;;;;;;;;;;;
EVTOPTAspleasure135;Yeah, right. We're done here.;;;;;;;;;;;;;;
EVTDESCAspleasure137;Every woman is a new conquest, a new opportunity to experiment, explore. [From.GetFirstName] has taught you much, but there's much more that even [From.GetSheHe] doesn't know. But you will. There's plenty of gullible young ladies, ready to swoon at the very sight of you, lining up to grant your every wish.;;;;;;;;;;;;;;
EVTDESCBspleasure137;Every man is a new conquest, a new opportunity to experiment, explore. [From.GetFirstName] has taught you much, but there's much more that even [From.GetSheHe] doesn't know. But you will. There's plenty of gullible young men, ready to swoon at the very sight of you, lining up to grant your every wish.;;;;;;;;;;;;;;
EVTOPTAspleasure137;Every court is my playground.;;;;;;;;;;;;;;
EVTDESCAspleasure13705;With your help, [From.GetFirstName] has become a true conqueror of flesh and learned explorer of the deep recesses of pleasure and passion. You think you might still go and spend some time with [From.GetHerHim] in the future, when both of you will have new games to share.;;;;;;;;;;;;;;
EVTDESCBspleasure13705;With your help, [From.GetFirstName] has become an insatiable conqueror, preying on the innocent and guilty alike. You think you might still go and spend some time with [From.GetHerHim] in the future, when both of you will have new games to share.;;;;;;;;;;;;;;
EVTOPTAspleasure137005;They grow so quickly...;;;;;;;;;;;;;;
EVTDESCAspleasure138;All can give you the pleasure you desire, you learned from [From.GetFirstName]. But as for yourself, you've found out while people tend to be predictable in their screams after some time, small animals are good intermissions. Their pain is almost as intoxicating as their death. But that last moment is what's truly sublime, and what excites you every time.;;;;;;;;;;;;;;
EVTDESCBspleasure138;All can give you the pleasure you desire, you learned from [From.GetFirstName]. But as for yourself, you've found out mature people tend to be predictable in their screams. The young, now there's some fun in working on those little things. Their pain is almost as intoxicating as their death. But that last moment is what's truly sublime, and what excites you every time.;;;;;;;;;;;;;;
EVTOPTAspleasure138;Sweet pain...;;;;;;;;;;;;;;
EVTDESCAspleasure13805;After your treatment [From.GetFirstName] has gained a real bloodlust. Every week now you spare the time to hear of his pleasant experiments with wanderers and little animals. He might be onto something good, maybe you should ask to go watch sometime in the future.;;;;;;;;;;;;;;
EVTDESCBspleasure13805;After your treatment [From.GetFirstName] has gained a real bloodlust. Every month or so you hear news of another poor missing child. The mystery is an excitement of its own, now you *must* ask her to let you join next time she has a little guest at home.;;;;;;;;;;;;;;
EVTOPTAspleasure13805;Even I am impressed.;;;;;;;;;;;;;;
EVTDESCAspleasure139;You've found pleasure in pain and happiness in despair. Under [From.GetFirstName] you've discovered the joys of servitude and submission. Nothing feels more exciting to you than giving up all control and having someone to hurt and berate you, but what really entices your senses is the torture, the smell of your blood, the permanent marks to your flesh.;;;;;;;;;;;;;;
EVTDESCBspleasure139;You've found pleasure in pain and happiness in despair. Under [From.GetFirstName] you've discovered the joy in brutality and violation. For some time you've had an even harder time searching for any, man or woman, who could satisfy your needs, but you've since discovered that base animals can offer much more, both in terms of physicality and savagery.;;;;;;;;;;;;;;
EVTOPTAspleasure139;More! I deserve this!;;;;;;;;;;;;;;
EVTDESCAspleasure13905;After your treatment [From.GetFirstName] has become such a deliciously subservient subject, but no less imaginative. He may really be on the path to touching some unseen heights of pleasure, if he doesn't get killed in the process. You've been truly astounded by some of the new toys he had built for him...;;;;;;;;;;;;;;
EVTDESCBspleasure13905;After your treatment [From.GetFirstName] has become such a deliciously subservient subject, but no less imaginative. She may really be on the path to some unseen heights of pleasure, if she doesn't get eaten by one of those pets she keeps around to satisfy her lust.;;;;;;;;;;;;;;
EVTOPTAspleasure13905;Even I am impressed.;;;;;;;;;;;;;;
EVTDESCAspleasure140;Your [GetFromRelation]'s concerns seems to be really with your behaviour. How dare this insignificant insect even suggest you to be an accommodating pawn?;;;;;;;;;;;;;;
EVTDESCBspleasure140;Your [GetFromRelation]'s concerns seems to be really with your behaviour. How dare this insignificant insect even suggest you to be an accommodating pawn?;;;;;;;;;;;;;;
EVTDESCCspleasure140;Your [GetFromRelation]'s concerns seems to be really with your behaviour. The argument being you are yet too yielding and content, unable to take a firm stand when it really matters. You told [From.GetHerHim] you couldn't care less of what [From.GetSheHe] thinks.;;;;;;;;;;;;;;
EVTDESCDspleasure140;Your [GetFromRelation]'s concerns seems to be really with your behaviour. For some reason [From.GetSheHe] believes you're too soft with the people around you and lacking in any sort of real ambition. You cannot deny you've felt a little too yielding at times...;;;;;;;;;;;;;;
EVTDESCEspleasure140;Your [GetFromRelation]'s concerns seems to be really with your behaviour. For some reason [From.GetSheHe] believes you're too soft with the people around you and lacking in any sort of real ambition. You cannot deny you've felt a little too yielding at times...;;;;;;;;;;;;;;
EVTDESCFspleasure140;Your [GetFromRelation]'s concerns seems to be really with your behaviour. For some reason [From.GetSheHe] believes you're too soft with the people around you and lacking in any sort of real ambition.;;;;;;;;;;;;;;
EVTDESCGspleasure140;Your [GetFromRelation]'s concerns seems to be really with your behaviour. Apparently, [From.GetSheHe] believes you to be too meek and agreeable, as if they were vices, and extorted you to grow a backbone. Or something similar...;;;;;;;;;;;;;;
EVTDESCHspleasure140;Your [GetFromRelation]'s concerns seems to be really with your behaviour. Apparently, [From.GetSheHe] believes you to be too meek and agreeable, as if they were vices, and extorted you to grow a backbone. Or something similar...;;;;;;;;;;;;;;
EVTOPTAspleasure140;I *can* be more strict!;;;;;;;;;;;;;;
EVTOPTBspleasure140;I don't care what you think.;;;;;;;;;;;;;;
EVTDESCAspleasure141;Self-entitlement, greed and ambition are healthy for the soul, they strengthen character and allow survival. Thanks to you, [From.GetFirstName] looks like [From.GetSheHe]'ll be gain quite a lot of the above.;;;;;;;;;;;;;;
EVTDESCBspleasure141;Being responsible for [From.GetHerHis] newly found strength of character somehow diminishes the accomplishment in itself, but you could live with it if only you could manage your [GetFromRelation] a little more over the edge...;;;;;;;;;;;;;;
EVTDESCCspleasure141;Once ambition has sparkled, it is hard to turn it off. Your influence is helping [From.GetFirstName] to start think only for [From.GetHerHim]self, gain some confidence and determination.;;;;;;;;;;;;;;
EVTDESCDspleasure141;Your efforts are finally starting to pay off. [From.GetFirstName] has started to understand it is in every person's nature to desire, to better oneself and achieve a greater goal.;;;;;;;;;;;;;;
EVTDESCEspleasure141;Your constant picking has triggered at least some small reaction in your [GetFromRelation], but [From.GetSheHe] is still way too yielding and short-sighted for your tastes. In fact, you suspect those few reaction [From.GetSheHe] had were more to entertain you than genuine frustration.;;;;;;;;;;;;;;
EVTDESCFspleasure141;Your constant picking has triggered at least some small reaction in your [GetFromRelation], but [From.GetSheHe] is still way too yielding and short-sighted for your tastes. In fact, you suspect those few reaction [From.GetSheHe] had were more to entertain you than genuine frustration.;;;;;;;;;;;;;;
EVTDESCGspleasure141;You can certainly admit [From.GetFirstName] is at least stubborn in [From.GetHerHis] opinions, as [From.GetSheHe] still acts as kindly and accommodating as possible.;;;;;;;;;;;;;;
EVTDESCHspleasure141;You can certainly admit [From.GetFirstName] is at least stubborn in [From.GetHerHis] opinions, as [From.GetSheHe] still acts as kindly and accommodating as possible.;;;;;;;;;;;;;;
EVTOPTAspleasure141;*Tempt [From.GetHerHim]*;;;;;;;;;;;;;;
EVTOPTBspleasure141;*Trick [From.GetHerHim]*;;;;;;;;;;;;;;
EVTOPTCspleasure141;*Traumatize [From.GetHerHim]*;;;;;;;;;;;;;;
EVTDESCAspleasure142;Why does [From.GetSheHe] has to torment you? All that glory, all that power that could be yours, your [GetFromRelation] can't stop talking about it. You want it, you want it all. NOW.;;;;;;;;;;;;;;
EVTDESCBspleasure142;You wish for more. You want more, yet the greedy and incompetent people around you, jealous of your potential, are preventing you from taking your rightful place in the world. [From.GetFirstName] knows that, [From.GetSheHe] understand you, knows the great things you're destined for.;;;;;;;;;;;;;;
EVTDESCCspleasure142;The dreams [From.GetFirstName] instilled in your mind with [From.GetHerHis] words are starting to torment you. Not rarely you wonder about things you do not have, things others have and you'd like to gain, maybe taking them by force... The thought is disturbingly exhilarating.;;;;;;;;;;;;;;
EVTDESCDspleasure142;It's hard to deny the lure of glory and power that [From.GetFirstName] swears is waiting for you, if only you showed the character and strength to affirm yourself, stop compromising and bowing down. If only it was so simple...;;;;;;;;;;;;;;
EVTDESCEspleasure142;[From.GetFirstName] has weaved in some very elaborate ways how much your servants, as well as your peers, would respect you for showing more authority in your character, if you didn't bow down and agree and compromise as much as you do. There was some charm in that picture [From.GetSheHe] made...;;;;;;;;;;;;;;
EVTDESCFspleasure142;[From.GetFirstName] has weaved in some very elaborate ways how much your servants, as well as your peers, would respect you for showing more authority in your character, if you didn't bow down and agree and compromise as much as you do.;;;;;;;;;;;;;;
EVTDESCGspleasure142;[From.GetFirstName] now has started to lure you with promises of gold, glory and fearful respect, claiming it's in your power to have it all, if only you would have the will to take it. You could only see through such a simplistic view.;;;;;;;;;;;;;;
EVTDESCHspleasure142;[From.GetFirstName] now has started to lure you with promises of gold, glory and fearful respect, claiming it's in your power to have it all, if only you would have the will to take it. You could only see through such a simplistic view.;;;;;;;;;;;;;;
EVTOPTZZspleasure142;I want it all!;;;;;;;;;;;;;;
EVTOPTAspleasure142;Nothing wrong to wish something for myself...;;;;;;;;;;;;;;
EVTOPTBspleasure142;What I desire is irrelevant.;;;;;;;;;;;;;;
EVTOPTCspleasure142;I've had enough of this useless dreams of imaginary glories.;;;;;;;;;;;;;;
EVTDESCAspleasure143;Why does [From.GetSheHe] have to torment you? All that glory, all that power that could be yours, your [GetFromRelation] can't stop talking about it. You want it, you want it all. NOW.;;;;;;;;;;;;;;
EVTDESCBspleasure143;You wish for more. You want more, yet the greedy and incompetent people around you, jealous of your potential, are preventing you from taking your rightful place in the world. [From.GetFirstName] knows that, [From.GetSheHe] teases you with tricks and lies, [From.GetSheHe] enjoys the sight of your torment.;;;;;;;;;;;;;;
EVTDESCCspleasure143;The dreams [From.GetFirstName] instilled in your mind with [From.GetHerHis] lies are starting to torment you. Not rarely do you wonder about things you do not have, things others have and you'd like to gain, maybe taking them by force... The thoughts are disturbingly exhilarating.;;;;;;;;;;;;;;
EVTDESCDspleasure143;At first you thought [From.GetFirstName] was giving you false or exaggerated news, but even then, you found yourself wondering what would you have done if those situation were true... If you could act and take what you desired.;;;;;;;;;;;;;;
EVTDESCEspleasure143;[From.GetFirstName] constant meddling in your affairs is starting to truly upset you. Perhaps in [From.GetHerHis] case you need to be just putting [From.GetHerHim] in [From.GetHerHis] place without concern for [From.GetHerHis] opinion.;;;;;;;;;;;;;;
EVTDESCFspleasure143;[From.GetFirstName] constant meddling in your affairs is starting to truly upset you. Perhaps in [From.GetHerHis] case you need to be just putting [From.GetHerHim] in [From.GetHerHis] place without concern for [From.GetHerHis] opinion.;;;;;;;;;;;;;;
EVTDESCGspleasure143;Small hints, exaggerated reports, [From.GetFirstName] is so deluded in skills of manipulator [From.GetSheHe] thinks to be able to influence and twist your mind with such frivolous things, when they're really little less than annoying to you.;;;;;;;;;;;;;;
EVTDESCHspleasure143;Small hints, exaggerated reports, [From.GetFirstName] is so deluded in skills of manipulator [From.GetSheHe] thinks to be able to influence and twist your mind with such frivolous things, when they're really little less than annoying to you.;;;;;;;;;;;;;;
EVTOPTZZspleasure143;I want it all!;;;;;;;;;;;;;;
EVTOPTAspleasure143;Nothing wrong to wish something for myself...;;;;;;;;;;;;;;
EVTOPTBspleasure143;What I desire is irrelevant.;;;;;;;;;;;;;;
EVTOPTCspleasure143;I've had enough of this useless dreams of imaginary glories.;;;;;;;;;;;;;;
EVTDESCAspleasure144;Why does [From.GetSheHe] has to torment you? All that glory, all that power that could be yours, your [GetFromRelation] can't stop talking about it. You want it, you want it all. NOW.;;;;;;;;;;;;;;
EVTDESCBspleasure144;You wish for more. You want more, yet the greedy and incompetent people around you, jealous of your potential, are preventing you to take your rightful place in the world, leeching at what little good you have. [From.GetFirstName] knows that, [From.GetSheHe] tried to warn you during all your talks.;;;;;;;;;;;;;;
EVTDESCCspleasure144;[From.GetFirstName]'s doom-mongery was not unfounded. You understand now, you've started seeing all which you miss, all other people keep taking from you without as much as empty thanks. How could you have been so blind?;;;;;;;;;;;;;;
EVTDESCDspleasure144;[From.GetFirstName] decided to spend a day trying to scare you off with future catastrophes spawning from your weakness as a leader, your carelessness and lack of proper ambition, which, according to [From.GetHerHim] will reveal themselves to be fatal for both you and everyone you hold dear. The picture was not a comforting one...;;;;;;;;;;;;;;
EVTDESCEspleasure144;[From.GetFirstName] decided to spend a day trying to scare you off with future catastrophes spawning from your weakness as a leader, your carelessness and lack of proper ambition, which, according to [From.GetHerHim] will reveal themselves to be fatal for both you and everyone you hold dear. The picture was not a comforting one...;;;;;;;;;;;;;;
EVTDESCFspleasure144;Once again [From.GetFirstName] decided to waste a day trying to scare you off with future catastrophes spawning from your weakness as a leader, your carelessness and lack of proper ambition, which, according to [From.GetHerHim] will reveal themselves to be fatal for both you and everyone you hold dear.;;;;;;;;;;;;;;
EVTDESCGspleasure144;Who does [From.GetSheHe] thinks to scare? [From.GetFirstName] went on berating you for hours, claiming your indolence will doom the realm and relegate you to shame and infamy, but [From.GetHerHis] words ringed hollow in your mind.;;;;;;;;;;;;;;
EVTDESCHspleasure144;Who does [From.GetSheHe] thinks to scare? [From.GetFirstName] went on berating you for hours, claiming your indolence will doom the realm and relegate you to shame and infamy, but [From.GetHerHis] words ringed hollow in your mind. A bait not to be taken.;;;;;;;;;;;;;;
EVTOPTZZspleasure144;I want it all!;;;;;;;;;;;;;;
EVTOPTAspleasure144;Nothing wrong to wish something for myself...;;;;;;;;;;;;;;
EVTOPTBspleasure144;What I desire is irrelevant.;;;;;;;;;;;;;;
EVTOPTCspleasure144;I've had enough of this useless dreams of imaginary glories.;;;;;;;;;;;;;;
EVTDESCAspleasure145;Following empty promises and dreams can never lead to anything good, that's what [From.GetFirstName] said, at least. For a whole day [From.GetSheHe] tried to explain you how to accomplish anything there needs to be reason and cooperation.;;;;;;;;;;;;;;
EVTDESCBspleasure145;Following empty promises and dreams can never lead to anything good, that's what [From.GetFirstName] said, at least. For a whole day [From.GetSheHe] tried to explain you how to accomplish anything there needs to be reason and cooperation.;;;;;;;;;;;;;;
EVTOPTAspleasure145;Bah, this is hopeless.;;;;;;;;;;;;;;
EVTDESCAspleasure147;People have always been kind to you only because they envied you. You can see this now. They envy what a successful man you are, they envy you for your charm, your resolution, your strength. [From.GetFirstName] might have helped you understand, but ultimately [From.GetSheHe]'s no different, just another sycophantic leech.;;;;;;;;;;;;;;
EVTDESCBspleasure147;People have always been kind to you only because they envied you. You can see this now. They envy what a successful woman you are, they envy you for your beauty, your determination, your strength. [From.GetFirstName] might have helped you understand, but ultimately [From.GetSheHe]'s no different, just another sycophantic leech.;;;;;;;;;;;;;;
EVTOPTAspleasure147;I'm just perfect.;;;;;;;;;;;;;;
EVTDESCAspleasure14705;[From.GetFirstName] has grown to be quite the vain peacock, thanks to your enlightened assistance. A much more interesting and strong character, apt for a man such as him.;;;;;;;;;;;;;;
EVTDESCBspleasure14705;[From.GetFirstName] has grown to be quite the vain peacock, thanks to your enlightened assistance. A much more interesting and strong character, a charming quality for a woman like her.;;;;;;;;;;;;;;
EVTOPTAspleasure147005;I'm a great teacher after all.;;;;;;;;;;;;;;
EVTDESCAspleasure148;The world might be against you, but that's not a challenge you cannot match. Nothing can stop you from obtaining your hearth's desires. You deserve all, you will have all. [From.GetFirstName] might have helped you understand this, but [From.GetSheHe]'s ultimately irrelevant to your great plans.;;;;;;;;;;;;;;
EVTDESCBspleasure148;The world might be against you, but that's not a challenge you cannot match. Nothing can stop you from obtaining your hearth's desires. You deserve all, you will have all. [From.GetFirstName] might have helped you understand this, but [From.GetSheHe]'s ultimately irrelevant to your great plans.;;;;;;;;;;;;;;
EVTOPTAspleasure148;To conquer... all.;;;;;;;;;;;;;;
EVTDESCAspleasure14805;[From.GetFirstName] has grown to be quite the ambitious man, an ego to fill a realm. That's the kind of man you like, the one who will not go down mildly in some uneventful death by old age. Those are ever so boring...;;;;;;;;;;;;;;
EVTDESCBspleasure14805;[From.GetFirstName] has grown to be quite the ambitious woman, an ego to fill a realm. That's the kind of woman you like, the one who will not go down mildly in some uneventful death by old age. Those are ever so boring...;;;;;;;;;;;;;;
EVTOPTAspleasure14805;Now just to wait and watch...;;;;;;;;;;;;;;
EVTDESCAspleasure149;You never had what you really wished. Never. You dreamed such great things for yourself, yet you're still stuck in such a miserable existence, while others, incompetents, idiots, unworthy men have all. The injustice of it pesters your very soul. [From.GetFirstName] knows, through your suffering [From.GetSheHe] feels better. Why shouldn't you do the same to others?;;;;;;;;;;;;;;
EVTDESCBspleasure149;You never had what you really wished. Never. You dreamed such great things for yourself, yet you're still stuck in such a miserable existence, while others, incompetents, idiots, unworthy men have all. The injustice of it pesters your very soul. [From.GetFirstName] knows, through your suffering [From.GetSheHe] feels better. Why shouldn't you do the same to others?;;;;;;;;;;;;;;
EVTOPTAspleasure149;They don't deserve any of what they have!;;;;;;;;;;;;;;
EVTDESCAspleasure14905;[From.GetFirstName] has grown to be quite the resentful man, filled with unfulfilled dreams and rancorous thoughts towards every other living thing. Quite the charmer, you must admit.;;;;;;;;;;;;;;
EVTDESCBspleasure14905;[From.GetFirstName] has grown to be quite the resentful woman, filled with unfulfilled dreams and rancorous thoughts towards every other living thing. Quite the charmer, you must admit.;;;;;;;;;;;;;;
EVTOPTAspleasure14905;Everything is all one can really hope for.;;;;;;;;;;;;;;
EVTDESCAspleasure150;Your [GetFromRelation]'s concerns seems to be really with your behaviour. While [From.GetSheHe] enjoys your company, [From.GetSheHe] thinks you're still showing some boring restraint at the wildest parties and should just let go of every boundary.;;;;;;;;;;;;;;
EVTDESCBspleasure150;Your [GetFromRelation]'s concerns seems to be really with your behaviour. While [From.GetSheHe] enjoys your company, [From.GetSheHe] thinks you're still showing some boring restraint at the wildest parties and should just let go of every boundary.;;;;;;;;;;;;;;
EVTDESCCspleasure150;Your [GetFromRelation]'s concerns seems to be really with your behaviour. While [From.GetSheHe] enjoys your company, [From.GetSheHe] thinks you're still too stuck up sometime and should need to loosen up a little more.;;;;;;;;;;;;;;
EVTDESCDspleasure150;Your [GetFromRelation]'s concerns seems to be really with your behaviour. For some reason [From.GetSheHe] believes you're too serious and boring and should learn to have some fun and loosen up every once in a while. In the end, [From.GetSheHe] doesn't really seem to be asking much...;;;;;;;;;;;;;;
EVTDESCEspleasure150;Your [GetFromRelation]'s concerns seems to be really with your behaviour. For some reason [From.GetSheHe] believes you're too serious and boring and should learn to have some fun and loosen up every once in a while.;;;;;;;;;;;;;;
EVTDESCFspleasure150;Your [GetFromRelation]'s concerns seems to be really with your behaviour. For some reason [From.GetSheHe] believes you're too serious and boring and should learn to have some fun and loosen up every once in a while.;;;;;;;;;;;;;;
